TimeStamp,Symbol,Quantity,Price
51300017799,fde,284,76
51300053224,cdd,217,209
51300064190,baa,93,198
51300080000,eeb,253,219
51300095605,efe,256,181
51300095991,ggg,218,122
51300108171,ffb,242,226
51300135861,eaf,287,19
51300165680,aeg,175,61
51300168141,daa,40,92
51300170836,bcg,50,160
51300173267,fba,178,192
51300266817,eae,106,77
51300301868,gef,82,198
51300356008,fdb,92,208
51300373247,bfb,206,115
51300427856,fgf,255,207
51300444453,gfe,196,56
51300451249,cda,112,170
51300454541,fae,185,252
51300503454,ace,26,277
51300514921,deg,79,88
51300517228,aff,286,15
51300556556,abg,52,165
51300582488,aaa,126,287
51300611824,fba,36,163
51300613180,dcf,241,188
51300647088,ebd,289,294
51300653550,faa,112,164
51300658231,gcg,141,41
51300703087,fea,242,294
51300721693,gae,28,82
51300730504,ecg,269,73
51300783747,gbb,166,234
51300827805,bdb,137,87
51300836064,gbb,240,250
51300872039,bcb,219,147
51300874215,gef,112,164
51300914626,acf,217,12
51300964247,aed,256,236
51301023536,cbc,88,169
51301101567,fee,160,200
51301113326,gdd,145,84
51301119482,cbe,94,34
51301126525,cab,172,137
51301135214,fda,199,50
51301163575,fdc,173,185
51301183887,bbe,68,110
51301190619,bfe,61,273
51301215355,bdf,235,95
51301230743,dea,90,118
51301247260,ccb,271,38
51301269594,cbd,139,106
51301299936,dcd,61,195
51301357845,aba,99,262
51301360379,cdc,47,99
51301362000,fef,71,50
51301390111,ecf,146,20
51301406668,gab,186,47
51301417030,fgf,209,182
51301439872,gad,220,228
51301446770,bcc,88,27
51301476850,cef,3,217
51301493320,ede,155,14
51301497694,afe,195,237
51301512140,bcd,289,195
51301517256,bff,155,202
51301564163,fde,205,69
51301573577,edf,93,276
51301586600,dae,212,190
51301595794,ceg,131,156
51301608842,eee,163,212
51301609579,efe,22,161
51301650187,gda,185,271
51301656874,eea,184,195
51301660186,ccb,80,37
51301747343,efd,95,220
51301761700,ebg,18,220
51301791036,cec,180,17
51301792947,dfd,272,102
51301795493,ddg,213,298
51301805780,dbg,89,23
51301822066,bfc,62,150
51301824388,afa,195,162
51301824397,eaa,102,237
51301829931,dfe,245,131
51301830647,fab,32,49
51301831542,cfa,35,128
51301880846,fge,281,149
51301883481,bdb,34,86
51301897658,gdf,199,172
51301897922,fcb,265,277
51301923662,egg,156,60
51301950774,ebb,80,221
51302010839,dce,289,127
51302015606,cfe,257,32
51302023412,fae,263,221
51302065112,eeg,275,162
51302112853,faa,127,183
51302128287,bgg,114,120
51302175899,gab,4,53
51302182432,bcd,137,167
51302194349,cae,135,254
51302206648,afc,87,221
51302206694,gfc,148,217
51302217268,eae,106,67
51302245321,fbg,229,88
51302276330,gag,100,164
51302293556,gbe,68,170
51302311218,fcg,196,247
51302339372,abc,172,16
51302363622,gbc,195,244
51302379904,edc,239,115
51302406017,gbd,263,46
51302436683,edf,222,317
51302442556,cde,263,280
51302452208,cbc,228,162
51302476887,eab,101,69
51302531402,cdg,241,138
51302584549,cfc,175,218
51302604487,bed,279,82
51302625489,bed,98,77
51302703218,dbf,231,281
51302718294,acg,185,207
51302730153,beg,213,216
51302755758,ecb,276,129
51302781100,bbg,220,139
51302906291,bda,257,292
51302921670,fae,81,221
51302923001,cce,41,234
51302923266,gad,299,191
51302936823,fdb,179,193
51302939539,ddc,9,135
51302939649,ced,89,91
51302955424,fab,245,43
51302999220,adc,198,296
51303062147,dgf,113,89
51303113543,agb,160,242
51303133607,eee,120,190
51303175158,fga,33,285
51303202144,dca,108,282
51303228127,cfe,112,25
51303254369,fag,229,220
51303257634,gef,161,173
51303264770,gdg,128,120
51303279938,fag,150,231
51303304487,gbe,18,142
51303327808,cfc,115,183
51303339246,fab,62,49
51303344577,bge,31,226
51303373566,eab,228,80
51303379272,aef,255,299
51303424568,gge,112,157
51303425258,cec,59,14
51303437857,edg,266,275
51303443987,faa,230,170
51303445061,ceb,97,246
51303525028,aaa,28,304
51303539240,bfd,245,155
51303542549,fbe,150,162
51303542973,bce,195,140
51303577434,cac,101,171
51303580611,adf,86,222
51303586389,gbf,224,253
51303595333,gac,245,88
51303609675,gfc,205,212
51303634676,ade,259,175
51303655638,aga,239,265
51303682712,cge,85,232
51303701421,fcc,47,37
51303764395,ebe,35,161
51303778332,dcb,43,66
51303790508,eee,299,188
51303791676,bea,211,232
51303792775,afb,104,207
51303797160,bac,289,89
51303818647,fag,153,247
51303843150,ged,279,268
51303892469,cdg,274,125
51303899284,ggd,124,241
51303923898,bdb,27,98
51303937009,cfb,253,19
51303956445,bbb,72,84
51303985708,bae,195,245
51303990050,gbc,242,280
51303995090,ccb,188,30
51304002806,afb,238,240
51304014989,dee,221,231
51304020159,bff,27,222
51304034848,cag,27,85
51304037286,gga,112,219
51304038828,cdb,224,36
51304089794,gbe,251,156
51304125446,dae,181,180
51304127472,ecb,136,147
51304145284,beb,270,230
51304151104,fgc,177,198
51304159326,ccg,2,80
51304160733,dfe,32,151
51304170638,cda,211,146
51304179516,ecd,287,113
51304198235,cgf,231,285
51304211603,eea,181,218
51304214584,bbe,205,105
51304241458,ccd,36,243
51304243375,afe,31,213
51304244377,cfg,83,287
51304262360,bdc,200,112
51304283940,cgb,4,124
51304336953,agd,165,235
51304366409,eae,97,66
51304392413,afd,283,145
51304394277,efa,276,199
51304397546,cec,154,15
51304413291,aae,286,104
51304419233,cdd,257,181
51304445289,ccd,50,199
51304462599,aed,255,278
51304496315,dge,39,53
51304497456,dec,95,66
51304513905,dcd,46,195
51304571936,agg,21,108
51304671144,eca,14,18
51304684051,gga,95,208
51304718582,edb,214,196
51304752124,gfa,55,264
51304781099,cgg,96,276
51304783705,ccf,200,89
51304785489,dac,198,96
51304797984,gcg,288,34
51304798463,cge,251,222
51304808660,bdd,278,162
51304822646,bfb,34,123
51304883682,dff,133,208
51304888437,bbf,120,123
51304895953,eff,276,141
51304908836,dab,249,192
51304913895,cfc,251,217
51304920360,acc,253,173
51304979346,eba,61,171
51304987637,dgb,154,128
51305061112,ggf,137,52
51305081749,bdg,14,214
51305095742,dcg,268,272
51305102347,ggf,188,53
51305105651,gcb,68,39
51305111912,abb,128,243
51305120550,acd,164,74
51305137140,gda,31,303
51305145599,ggf,166,55
51305162360,dbd,11,284
51305165952,ada,190,293
51305181579,bce,179,155
51305204499,cbf,287,266
51305219198,ddb,28,64
51305258849,geg,26,293
51305281033,cdb,55,37
51305298355,cfe,285,29
51305312063,ceg,7,184
51305314114,eeg,125,189
51305316900,cfc,53,175
51305354421,ccf,248,80
51305377032,egd,114,45
51305378698,aab,209,162
51305407695,cgc,294,184
51305407860,bcb,198,142
51305447653,ccg,28,71
51305450115,fea,1,311
51305464796,gae,93,66
51305474994,dfb,41,117
51305478756,bba,208,6
51305499018,cda,180,147
51305523226,ggb,158,20
51305528702,ggc,273,52
51305528948,dda,236,65
51305547827,cga,120,214
51305566352,bff,135,226
51305568973,aee,9,17
51305571276,bfg,147,256
51305591343,aca,291,7
51305616830,acg,240,246
51305617940,fgf,174,205
51305631016,ecf,101,23
51305660213,edb,215,207
51305670489,ead,132,29
51305670906,eae,189,76
51305693670,bee,168,148
51305696063,def,3,257
51305703910,aec,89,241
51305720412,dfc,40,108
51305727025,ffb,200,196
51305730293,dbc,33,127
51305733731,bec,266,262
51305765232,dcc,295,213
51305769399,ged,285,227
51305796404,feg,150,79
51305803191,faf,153,29
51305804652,ffa,230,17
51305821893,bgd,297,74
51305859335,baa,31,172
51305871837,bfe,5,322
51305877279,bdg,238,211
51305914689,efe,274,138
51305936623,bgf,117,116
51305953503,fdc,128,192
51305963592,fec,78,59
51305982853,gge,262,182
51305991967,ega,103,17
51306012014,dba,21,103
51306141131,dgd,214,42
51306153578,bcf,42,156
51306159109,gfb,212,272
51306190009,gec,234,136
51306202282,deg,231,93
51306209575,eag,63,276
51306217874,dfe,259,132
51306226624,gbe,219,135
51306256550,dfd,44,108
51306267909,bfa,34,202
51306277557,cag,299,72
51306347166,dgd,158,45
51306375736,aag,161,214
51306395102,edg,37,313
51306396686,ebf,61,79
51306492001,ece,67,206
51306498114,fde,251,80
51306511765,ccc,101,227
51306512507,cgb,43,124
51306527317,dcf,192,201
51306528415,dgc,190,46
51306552671,cec,25,12
51306585300,gaf,258,13
51306589211,gga,179,220
51306620453,cgd,280,32
51306655960,ebg,21,176
51306671604,aba,185,309
51306683344,fcg,195,239
51306735277,aeg,210,56
51306742971,fdd,134,34
51306756767,ccb,27,25
51306772813,ceg,108,207
51306791860,fgg,59,194
51306799188,cdc,229,112
51306802953,caa,225,272
51306824014,gac,282,97
51306846684,bcd,40,165
51306853543,bdb,101,98
51306867906,cad,259,216
51306876424,efe,87,133
51306889888,egb,99,296
51306891402,fac,102,138
51306895316,ebc,121,58
51306906110,cbc,251,140
51306915516,egf,68,75
51306933999,dff,41,245
51306949527,gga,13,257
51306952288,cbe,39,38
51306956324,fbd,47,204
51306970794,dfd,89,95
51306974935,fee,131,202
51306976143,feb,146,182
51307011522,gfd,220,223
51307019377,dfd,105,109
51307031537,ebe,33,165
51307046093,efc,40,294
51307059689,gef,43,174
51307065316,dfd,43,98
51307092735,cbg,253,167
51307108123,ddf,187,149
51307116418,aae,158,115
51307129938,dga,294,271
51307142630,daf,192,289
51307144146,fcc,203,33
51307145398,beg,269,198
51307150757,bef,61,6
51307159500,fcd,137,260
51307162132,eed,150,35
51307174609,dcd,113,195
51307180781,dda,194,68
51307196974,dad,167,221
51307211027,ega,9,18
51307245470,fed,139,298
51307246835,afa,295,136
51307300573,aea,175,102
51307305330,dfd,120,107
51307309614,ace,269,307
51307309927,efd,214,187
51307331875,efe,5,146
51307367859,fcc,14,26
51307381084,eeb,163,243
51307408231,aeb,241,216
51307413094,bfe,169,309
51307422149,fab,9,47
51307422476,aea,108,115
51307426027,aee,184,18
51307473898,baa,217,194
51307512998,agd,118,274
51307532301,fce,271,19
51307544762,cdf,201,212
51307555746,gaa,224,218
51307585001,edd,57,136
51307623136,faa,132,141
51307645421,eda,31,153
51307645845,cfe,267,25
51307655939,dgf,131,93
51307661264,bfg,236,204
51307663913,abg,177,138
51307674606,eag,72,231
51307687429,abe,197,219
51307692546,fdc,251,170
51307704788,efb,196,152
51307707536,agg,255,115
51307729124,acb,188,159
51307733688,ecc,71,91
51307749785,gfe,248,58
51307750012,gca,194,221
51307751586,adb,183,203
51307759255,fca,239,207
51307764277,ecc,47,92
51307767394,fba,75,163
51307768664,bae,15,235
51307771069,bca,172,163
51307784156,geb,215,112
51307785753,bbe,283,115
51307803596,bga,82,70
51307813642,eca,294,16
51307818658,fcf,34,78
51307818797,eda,15,128
51307828781,feb,18,200
51307835342,bgf,276,100
51307849011,dfb,25,126
51307853565,fbd,112,163
51307862052,adb,102,184
51307864732,gfa,182,248
51307878937,dge,38,54
51307902057,ebd,18,258
51307919180,aef,76,307
51307922060,feg,293,73
51307931220,fdf,34,224
51307946827,aeg,17,61
51307972521,adg,140,223
51307975283,bff,86,219
51308048375,cbd,285,120
51308053711,afd,255,120
51308056318,fbg,205,75
51308070232,afe,22,244
51308082394,afg,56,220
51308088447,abc,184,16
51308096577,fee,4,210
51308117039,bag,214,118
51308121915,ebb,203,225
51308158943,egf,121,63
51308193848,gbb,282,237
51308199958,aca,227,5
51308201152,aad,19,137
51308205750,ffg,128,158
51308213621,dde,118,87
51308227327,dad,48,198
51308229076,dda,66,56
51308238558,bfe,278,358
51308252033,eee,226,219
51308272481,cbb,48,236
51308283395,ged,268,261
51308289752,dff,247,237
51308291196,fcf,61,70
51308294190,aaa,125,243
51308295978,cda,45,129
51308313475,ceb,237,290
51308318238,acd,113,88
51308322275,dag,36,216
51308333222,deb,37,228
51308362137,agc,222,10
51308366327,cff,87,22
51308368030,bcf,55,185
51308378210,cee,101,277
51308393271,caf,289,16
51308414141,abd,86,245
51308461268,gcc,198,118
51308473894,bea,138,248
51308497057,fad,58,104
51308512115,bcc,56,21
51308532555,feb,40,218
51308533740,dad,272,198
51308534204,bbc,202,40
51308538598,fff,27,104
51308539393,baf,264,25
51308546932,bac,64,101
51308547331,gdb,210,253
51308638252,ggg,20,136
51308639583,bdf,142,84
51308652298,dcc,255,234
51308653826,gce,182,254
51308671983,eeb,104,269
51308672584,cga,189,243
51308672609,bcg,292,128
51308675096,gdc,56,93
51308681036,efg,262,106
51308681759,dbb,97,250
51308682781,fbc,68,240
51308689587,bbg,234,161
51308710827,aed,203,311
51308714377,ddd,196,197
51308714884,ddc,23,145
51308724743,cef,125,238
51308736753,adf,291,230
51308792263,fgd,74,125
51308793440,aaf,240,294
51308816343,age,238,166
51308818292,dbg,249,22
51308818588,aee,15,18
51308819324,gaf,287,14
51308837629,gcb,205,42
51308848912,bfc,3,142
51308865912,ecd,53,113
51308869355,acd,40,73
51308907499,ebb,288,238
51308924270,abf,246,99
51308933568,gdd,186,74
51308936032,eec,60,152
51308959380,cbf,34,289
51308974710,ecg,200,69
51308975801,bad,139,66
51308975995,efc,181,346
51309019083,agd,274,249
51309021603,cba,82,232
51309033190,gee,249,184
51309033398,aed,275,314
51309062417,gfb,106,277
51309075846,eda,20,124
51309082294,bgc,91,124
51309102625,bab,77,125
51309112293,gcf,109,23
51309112691,gba,251,40
51309116340,aga,22,315
51309137525,bee,8,153
51309144281,agb,56,287
51309145699,cdg,242,116
51309170595,baf,8,20
51309173135,fcb,62,329
51309191544,ede,217,15
51309212680,aac,27,197
51309216675,eac,51,28
51309226672,bbd,114,108
51309237921,aae,214,103
51309264713,gcc,237,135
51309278404,gff,144,27
51309297919,dce,9,128
51309300798,agf,10,111
51309306268,daa,127,83
51309314038,gda,1,266
51309316549,acf,170,12
51309331801,dfc,57,105
51309334169,edd,147,121
51309338125,aae,93,101
51309351898,fbb,261,16
51309362240,gfe,19,66
51309380861,dda,9,66
51309390312,dea,127,123
51309395914,aee,297,18
51309400613,gad,178,154
51309405495,ggf,280,58
51309414780,eef,232,242
51309462271,bff,163,251
51309469995,efe,110,156
51309482195,aed,169,273
51309483702,dea,40,141
51309491915,dag,201,174
51309508834,cab,297,157
51309517701,ade,107,199
51309523401,eaf,94,19
51309534178,cea,160,212
51309544397,gaf,117,16
51309545177,fee,93,216
51309553512,agd,237,288
51309554151,ffc,151,296
51309570252,gdg,230,122
51309572377,gde,116,45
51309577016,dfa,298,81
51309586128,dbe,124,163
51309590263,dgb,156,120
51309598037,gbg,113,21
51309600848,gdf,155,204
51309616109,gbd,73,41
51309616709,cae,196,279
51309625315,fgf,275,221
51309629679,egg,105,60
51309645224,cgd,149,30
51309670290,ffe,53,17
51309672012,ded,47,202
51309678129,fbf,251,154
51309678457,cca,156,269
51309680451,dfg,71,254
51309703658,cac,203,143
51309704287,gfa,68,257
51309708128,ege,296,219
51309733933,egc,35,68
51309753092,cgd,152,32
51309755057,bcb,36,143
51309775760,cde,140,260
51309776280,afc,110,198
51309786166,add,50,176
51309793380,bde,141,232
51309800985,fec,196,48
51309813224,afa,157,123
51309815529,ddc,62,146
51309828553,fef,293,48
51309833734,gfg,255,78
51309835707,fgb,174,268
51309843937,cef,6,268
51309865670,fdg,206,151
51309877319,dgg,257,263
51309897455,gcd,31,138
51309916352,gea,207,79
51309923564,ddg,113,309
51309931114,ecf,103,18
51309937513,gcc,158,148
51309947153,gbf,231,220
51309961204,cfd,241,53
51309970362,aca,199,5
51309977495,bgb,86,125
51309978078,cfg,53,327
51309991900,ffd,97,77
51310030648,afe,220,278
51310056081,aff,32,17
51310061865,cbe,66,36
51310066141,cff,283,24
51310070177,fca,42,190
51310079261,eed,150,40
51310107874,dab,61,178
51310146782,bed,199,70
51310175903,egc,13,57
51310182134,ffd,60,62
51310197410,fgd,56,130
51310201073,dfb,184,143
51310202214,dcg,123,258
51310245775,afb,168,242
51310322022,gfd,240,211
51310326445,dgf,133,101
51310364508,cbe,21,31
51310396357,ffb,127,160
51310424180,acc,64,200
51310434098,fac,248,149
51310435165,gfa,129,244
51310446919,aaa,139,243
51310458939,dfd,284,126
51310464583,afa,234,141
51310474136,gag,114,185
51310488646,cbb,138,191
51310555210,gec,244,115
51310556360,cfb,175,16
51310562348,aba,77,342
51310578078,cdb,51,29
51310583714,ffb,13,158
51310590618,fda,216,51
51310594602,ddc,94,156
51310596555,daf,104,280
51310610196,bfe,85,422
51310646103,adb,186,176
51310673250,fcc,197,30
51310695696,gaf,71,14
51310736516,cfa,73,145
51310758636,gfc,40,252
51310765225,fee,91,246
51310791499,egf,44,66
51310796578,aef,158,334
51310796659,efc,1,280
51310848028,bfg,53,171
51310859398,afe,217,250
51310872713,gdb,260,227
51310909230,bgg,232,139
51310981472,eab,159,90
51310988697,ccb,206,20
51311013518,fda,251,55
51311023774,bda,78,274
51311026402,adf,272,216
51311063196,cec,31,13
51311114960,ecg,7,71
51311131325,aae,265,117
51311162368,dga,58,287
51311217338,edg,204,369
51311232005,bff,283,213
51311262323,fef,181,56
51311262931,dfc,106,117
51311272363,fgd,67,105
51311292673,bfg,39,194
51311320530,ada,179,339
51311323839,edc,10,123
51311345725,gbg,89,20
51311351570,dag,247,165
51311353926,fgc,65,180
51311386621,cfe,225,22
51311394789,gab,155,57
51311420582,gbd,229,42
51311422805,gbb,246,253
51311425480,fge,286,159
51311443311,dbc,92,123
51311452251,fae,203,262
51311460268,geg,117,234
51311461670,edf,73,301
51311465894,dbf,171,244
51311477980,adb,105,198
51311481643,ega,1,20
51311495581,dfb,16,124
51311504694,dee,39,242
51311521793,cgf,5,304
51311537325,aca,126,5
51311542804,cdb,206,24
51311551960,bfb,29,143
51311553045,fag,278,212
51311569306,eeg,115,160
51311569597,ccg,59,71
51311574129,fbd,260,169
51311597000,bfa,190,191
51311598845,bde,170,241
51311605892,dae,162,169
51311609356,adc,179,254
51311615208,aad,189,163
51311655850,acd,181,75
51311657612,cea,199,190
51311670622,ddf,210,132
51311673738,fgf,255,209
51311695537,eaa,284,248
51311695557,bgd,86,85
51311703000,efa,264,181
51311707859,dga,135,258
51311765643,ceg,245,233
51311792105,cge,178,179
51311796996,fad,286,104
51311846159,bdd,192,184
51311851100,ddc,29,148
51311855382,bef,93,5
51311859853,gga,297,241
51311861584,cce,179,231
51311869622,bbg,252,167
51311877127,beb,262,218
51311887025,fdd,123,37
51311895547,bba,181,5
51311895954,bcd,30,168
51311918584,ced,46,78
51311942215,bab,77,120
51311966194,agf,114,118
51311974387,aab,2,153
51311984652,bdg,138,173
51312005817,aef,129,374
51312010911,eag,149,221
51312019139,acg,260,275
51312021174,baf,118,19
51312034155,ccf,71,84
51312036534,bab,125,136
51312037340,gcb,217,39
51312050390,ecf,92,16
51312056411,afb,90,196
51312056679,gcg,156,36
51312081942,bdc,251,106
51312092547,bdb,179,106
51312092644,fdb,269,216
51312102202,fcc,52,25
51312136428,bfd,272,179
51312150147,acb,115,149
51312151945,bde,292,231
51312157467,eca,156,16
51312188026,ggc,131,44
51312279040,ggd,207,250
51312283930,gca,220,245
51312294239,bbf,136,127
51312296966,gcb,173,45
51312305182,gdd,20,81
51312306819,agc,127,8
51312338480,bge,101,183
51312348409,eda,37,115
51312351298,faf,21,28
51312352605,cdb,248,26
51312379780,ccd,101,167
51312381115,cbc,124,156
51312390958,egb,14,275
51312398162,aba,161,277
51312413622,dcg,267,229
51312469200,ggf,231,61
51312477845,ffc,103,316
51312491228,cag,109,58
51312518857,eee,81,175
51312542483,gbe,258,137
51312552770,eba,47,150
51312555258,ggb,68,20
51312665642,bga,154,80
51312673870,eef,226,237
51312703963,gcg,9,32
51312722102,aea,104,133
