aaa,9896377,8009,284,429
aab,9977588,10335,76,169
aac,9955507,7336,206,276
aad,9775988,7671,153,231
aae,9897230,9906,96,170
aaf,9934843,9850,460,743
aag,9962842,9788,156,250
aba,9739606,8792,128,342
abb,9972875,8990,129,260
abc,9863432,9737,5,16
abd,9715678,8468,62,245
abe,9393670,8372,195,344
abf,9604454,9474,19,99
abg,9888179,9278,44,165
aca,9772485,10761,5,7
acb,9884779,9078,123,225
acc,9650862,9258,73,200
acd,9889474,9280,38,88
ace,9841302,9583,1074,2206
acf,9922433,9136,6,13
acg,9740201,9098,248,373
ada,9931461,8094,651,1358
adb,9886600,9725,79,210
adc,9955409,9141,186,315
add,9855373,7695,150,227
ade,9825069,8614,94,234
adf,9991097,9760,110,336
adg,9862862,8248,104,244
aea,9844371,8183,66,166
aeb,9964024,10026,159,355
aec,9996749,9142,253,339
aed,9903431,10352,177,314
aee,9876998,8359,6,18
aef,9835613,9900,252,470
aeg,9509215,10173,31,72
afa,9909763,8382,256,450
afb,9606169,10204,165,251
afc,9750544,8184,106,225
afd,9347625,7936,191,518
afe,9953969,9784,365,631
aff,9686765,9374,6,17
afg,9993666,10661,88,224
aga,9434498,10256,109,380
agb,9758555,9326,191,331
agc,9803687,10398,5,10
agd,9945572,9609,185,333
age,9922466,7737,78,168
agf,9771452,9561,42,118
agg,9926188,9233,70,115
baa,9988075,7920,96,228
bab,9731116,9597,109,161
bac,9806315,9652,36,101
bad,9860508,8614,24,66
bae,9760256,8808,345,492
baf,9933936,11276,8,25
bag,9902989,8288,88,134
bba,9822968,9838,5,6
bbb,9690285,10542,27,84
bbc,9840773,7839,17,46
bbd,9894300,8753,49,118
bbe,9938849,8041,135,284
bbf,9920790,10163,127,238
bbg,9886857,11083,69,195
bca,9914874,9813,63,163
bcb,9838594,8951,56,155
bcc,9673092,7758,7,27
bcd,9953446,9613,82,195
bce,9792670,8666,175,263
bcf,9871844,8624,81,224
bcg,9611857,9100,161,296
bda,9856268,9240,240,663
bdb,9990854,9114,72,129
bdc,9844153,8844,35,120
bdd,9890838,9140,146,278
bde,9948835,8261,206,277
bdf,9323018,8940,94,196
bdg,9842961,9083,221,333
bea,9932104,7099,140,273
beb,9961360,10029,106,306
bec,9874853,9564,183,387
bed,9963349,7782,20,82
bee,9816768,8587,69,153
bef,9720146,9003,5,6
beg,9664791,10213,211,320
bfa,9571716,8901,177,297
bfb,9693618,8970,249,429
bfc,9446220,9277,134,224
bfd,9612807,9216,211,470
bfe,9869792,8708,670,1404
bff,9592299,10283,110,251
bfg,9999321,9944,163,274
bga,9934747,8117,26,90
bgb,9983029,7805,219,402
bgc,9987990,9452,67,144
bgd,9852884,7835,49,97
bge,9641039,10240,187,319
bgf,9979769,9280,114,210
bgg,9658048,10193,249,592
caa,9965749,7782,288,444
cab,9999006,10562,332,556
cac,9978670,11384,76,171
cad,9266986,8504,90,216
cae,9853937,9649,208,314
caf,9915618,10696,7,16
cag,9760568,9707,62,119
cba,9993416,8559,101,232
cbb,9944151,7473,82,236
cbc,9705204,9436,197,340
cbd,9894535,8490,84,122
cbe,9915684,9867,12,38
cbf,9862308,9738,211,374
cbg,9986065,9821,208,291
cca,9273742,9181,49,269
ccb,9944217,9366,10,38
ccc,9759083,9013,171,321
ccd,9728359,9035,243,386
cce,9948959,9707,109,254
